,date,빈폴,빈폴_absolute
1483,2023-01-23,6.62519,5711.256911355358
1484,2023-01-24,7.29011,6284.4523888433105
1485,2023-01-25,5.6991,4912.91936736989
1486,2023-01-26,5.58807,4817.205756912261
1487,2023-01-27,5.29914,4568.133132670857
1488,2023-01-28,6.03598,5203.327375034183
1489,2023-01-29,6.38042,5500.252494245441
1490,2023-01-30,5.43541,4685.604930356719
1491,2023-01-31,5.25372,4528.978740281543
1492,2023-02-01,5.27013,4543.125010187061
1493,2023-02-02,5.29914,4568.133132670857
1494,2023-02-03,5.21966,4499.617256248517
1495,2023-02-04,5.97037,5146.768156965867
1496,2023-02-05,6.56337,5657.964869578445
1497,2023-02-06,5.98173,5156.561065322155
1498,2023-02-07,5.59186,4820.472933203662
1499,2023-02-08,5.46317,4709.535488100606
1500,2023-02-09,5.37106,4630.131897546231
1501,2023-02-10,5.337,4600.770413513204
1502,2023-02-11,6.06374,5227.25793277807
1503,2023-02-12,6.95197,5992.958195921191
1504,2023-02-13,5.9464,5126.104775513382
1505,2023-02-14,5.7092,4921.62609046835
1506,2023-02-15,5.51237,4751.948436263403
1507,2023-02-16,5.59943,4826.998665268548
1508,2023-02-17,5.37485,4633.399073837633
1509,2023-02-18,6.33753,5463.279092889702
1510,2023-02-19,7.16268,6174.601128998082
1511,2023-02-20,5.86691,5057.580278573122
1512,2023-02-21,5.52877,4766.086085651003
1513,2023-02-22,5.54896,4783.490911330005
1514,2023-02-23,5.40765,4661.674372612832
1515,2023-02-24,5.31933,4585.537958349859
1516,2023-02-25,6.25678,5393.668410691615
1517,2023-02-26,7.06427,6089.766612154567
1518,2023-02-27,5.80383,5003.202051538381
1519,2023-02-28,5.57041,4801.981922266833
1520,2023-03-01,7.08572,6108.257623091397
1521,2023-03-02,5.4127,4666.027734162061
1522,2023-03-03,5.46064,4707.354497067031
1523,2023-03-04,6.86744,5920.088957949621
1524,2023-03-05,7.61563,6565.067488151315
1525,2023-03-06,6.09402,5253.360861037613
1526,2023-03-07,6.34636,5470.8910102124155
1527,2023-03-08,5.90855,5093.476115188953
1528,2023-03-09,5.96659,5143.509601192383
1529,2023-03-10,5.85934,5051.054546508238
1530,2023-03-11,6.54823,5644.913405448674
1531,2023-03-12,7.27749,6273.573295229195
1532,2023-03-13,5.59564,4823.731488977146
1533,2023-03-14,5.35592,4617.0804334164595
1534,2023-03-15,5.75967,4965.133844406895
1535,2023-03-16,5.337,4600.770413513204
1536,2023-03-17,5.54391,4779.137549780774
1537,2023-03-18,6.64664,5729.7479222921875
1538,2023-03-19,7.4453,6418.234206432427
1539,2023-03-20,6.39556,5513.3039583752125
1540,2023-03-21,6.26435,5400.194142756501
1541,2023-03-22,5.60952,4835.696767849089
1542,2023-03-23,5.877,5066.278381153664
1543,2023-03-24,5.72686,4936.849925113778
1544,2023-03-25,6.20757,5351.246842010898
1545,2023-03-26,7.04786,6075.620342249049
1546,2023-03-27,5.96532,5142.4147954166365
1547,2023-03-28,5.51994,4758.474168328289
1548,2023-03-29,5.42405,4675.812022000431
1549,2023-03-30,5.14269,4433.2651298239125
1550,2023-03-31,5.1919,4475.68669850463
1551,2023-04-01,6.08897,5249.007499488383
1552,2023-04-02,6.81571,5875.495018753248
1553,2023-04-03,5.7521,4958.60811234201
1554,2023-04-04,5.58681,4816.119571654433
1555,2023-04-05,5.40387,4658.415816839349
1556,2023-04-06,5.1326,4424.567027243372
1557,2023-04-07,4.75661,4100.444173996823
1558,2023-04-08,5.44803,4696.484023970835
1559,2023-04-09,5.99182,5165.259167902696
1560,2023-04-10,5.43289,4683.432559841063
1561,2023-04-11,5.2184,4498.531070990689
1562,2023-04-12,5.40513,4659.502002097176
1563,2023-04-13,5.20704,4488.738162634401
1564,2023-04-14,5.20326,4485.479606860918
1565,2023-04-15,5.71929,4930.324193048892
1566,2023-04-16,6.34383,5468.71001917884
1567,2023-04-17,5.32186,4587.718949383433
1568,2023-04-18,5.20704,4488.738162634401
1569,2023-04-19,5.45055,4698.65639448649
1570,2023-04-20,5.14774,4437.618491373143
1571,2023-04-21,5.21335,4494.177709441459
1572,2023-04-22,5.43793,4687.777300872374
1573,2023-04-23,6.25299,5390.401234400212
1574,2023-04-24,5.62214,4846.575861463206
1575,2023-04-25,5.28274,4553.995483283258
1576,2023-04-26,4.86638,4195.071599196625
1577,2023-04-27,4.71119,4061.289781607509
1578,2023-04-28,4.75787,4101.530359254651
1579,2023-04-29,5.33069,4595.3308667061465
1580,2023-04-30,5.84041,5034.735906087063
1581,2023-05-01,6.40313,5519.829690440099
1582,2023-05-02,5.73569,4944.461842436491
1583,2023-05-03,5.20326,4485.479606860918
1584,2023-05-04,5.59943,4826.998665268548
1585,2023-05-05,6.0486,5214.206468648299
1586,2023-05-06,6.01201,5182.663993581698
1587,2023-05-07,6.33879,5464.36527814753
1588,2023-05-08,5.97163,5147.854342223694
1589,2023-05-09,5.20452,4486.565792118745
1590,2023-05-10,5.35466,4615.994248158631
1591,2023-05-11,5.25751,4532.245916572945
1592,2023-05-12,4.85503,4185.287311358256
1593,2023-05-13,5.11998,4413.687933629256
1594,2023-05-14,5.67766,4894.43697695098
1595,2023-05-15,5.36349,4623.606165481345
1596,2023-05-16,5.74957,4956.427121308435
1597,2023-05-17,5.58303,4812.86101588095
1598,2023-05-18,4.93073,4250.544632007113
1599,2023-05-19,4.86512,4193.985413938798
1600,2023-05-20,5.25877,4533.332101830773
1601,2023-05-21,5.63728,4859.627325592976
1602,2023-05-22,5.14774,4437.618491373143
1603,2023-05-23,4.88909,4214.648795391283
1604,2023-05-24,4.8689,4197.243969712281
1605,2023-05-25,4.4967,3876.3882927571344
1606,2023-05-26,4.12828,3558.7911715754717
1607,2023-05-27,4.57619,3944.9127896973946
1608,2023-05-28,5.11367,4408.248386822198
1609,2023-05-29,5.0897,4387.585005369712
1610,2023-05-30,4.69479,4047.15213221991
1611,2023-05-31,4.53834,3912.2841293729653
1612,2023-06-01,4.66956,4025.402565509597
1613,2023-06-02,4.24815,3662.1253198737345
1614,2023-06-03,4.7503,4095.0046271897654
1615,2023-06-04,4.76923,4111.323267610939
1616,2023-06-05,4.3945,3788.286599622218
1617,2023-06-06,4.98624,4298.397126976968
1618,2023-06-07,4.51184,3889.4397568869063
1619,2023-06-08,4.37053,3767.623218169733
1620,2023-06-09,4.2759,3686.0472570997026
1621,2023-06-10,4.30114,3707.8054443279343
1622,2023-06-11,4.67334,4028.66112128308
1623,2023-06-12,4.42226,3812.2171573661053
1624,2023-06-13,4.83358,4166.796300421427
1625,2023-06-14,5.76093,4966.220029664723
1626,2023-06-15,4.9383,4257.0703640719985
1627,2023-06-16,5.18181,4466.988595924088
1628,2023-06-17,4.90549,4228.786444778882
1629,2023-06-18,5.18685,4471.333336955399
1630,2023-06-19,4.83736,4170.054856194911
1631,2023-06-20,4.49923,3878.569283790709
1632,2023-06-21,4.37684,3773.0627649767907
1633,2023-06-22,4.51437,3891.6207479204813
1634,2023-06-23,4.38567,3780.6746822995046
1635,2023-06-24,4.54591,3918.8098614378514
1636,2023-06-25,4.83736,4170.054856194911
1637,2023-06-26,4.13586,3565.325524158277
1638,2023-06-27,4.18254,3605.566101805419
1639,2023-06-28,4.3352,3737.166928360961
1640,2023-06-29,4.00211,3450.0260969880705
1641,2023-06-30,4.01473,3460.9051906021864
1642,2023-07-01,4.40586,3798.079507978506
1643,2023-07-02,4.68848,4041.712585412852
1644,2023-07-03,4.23805,3653.418596775274
1645,2023-07-04,4.07908,3516.3782234126747
1646,2023-07-05,4.23427,3650.160041001791
1647,2023-07-06,4.19894,3619.703751193018
1648,2023-07-07,3.81664,3290.141351139411
1649,2023-07-08,3.98319,3433.716077084816
1650,2023-07-09,4.43866,3826.354806753704
1651,2023-07-10,3.9895,3439.155623891874
1652,2023-07-11,3.75104,3233.5907535890146
1653,2023-07-12,3.68038,3172.678173971469
1654,2023-07-13,3.48986,3008.4400665735793
1655,2023-07-14,3.57566,3082.4041103208965
1656,2023-07-15,3.84188,3311.8995383676433
1657,2023-07-16,4.06015,3500.0595829915005
1658,2023-07-17,3.72328,3209.6601958451274
1659,2023-07-18,3.31449,2857.2620438233807
1660,2023-07-19,3.36369,2899.674991986178
1661,2023-07-20,3.30439,2848.5553207249204
1662,2023-07-21,3.26023,2810.4871135934336
1663,2023-07-22,3.51762,3032.3706243174665
1664,2023-07-23,3.80907,3283.6156190745255
1665,2023-07-24,3.37883,2912.726456115949
1666,2023-07-25,3.4722,2993.2162319281524
1667,2023-07-26,3.45201,2975.811406249151
1668,2023-07-27,3.2615,2811.5819193691805
1669,2023-07-28,3.24635,2798.52183472149
1670,2023-07-29,3.36243,2898.58880672835
1671,2023-07-30,3.65136,3147.6614309697534
1672,2023-07-31,3.40785,2937.743199117664
1673,2023-08-01,3.8608,3328.2095582708976
1674,2023-08-02,3.6829,3174.8505444871244
1675,2023-08-03,3.46084,2983.4233235718643
1676,2023-08-04,3.05836,2636.464718357175
1677,2023-08-05,3.53402,3046.5082737050657
1678,2023-08-06,3.59963,3103.0674917733813
1679,2023-08-07,3.54286,3054.1288115456987
1680,2023-08-08,3.33215,2872.485878468807
1681,2023-08-09,3.38262,2915.993632407352
1682,2023-08-10,3.29178,2837.6848476287237
1683,2023-08-11,3.29935,2844.210579693609
1684,2023-08-12,3.63244,3131.3514110664987
1685,2023-08-13,3.97688,3428.276530277758
1686,2023-08-14,3.48986,3008.4400665735793
1687,2023-08-15,3.78384,3261.866052364213
1688,2023-08-16,3.48986,3008.4400665735793
1689,2023-08-17,3.40154,2932.303652310606
1690,2023-08-18,3.25771,2808.314743077778
1691,2023-08-19,3.66146,3156.368154068214
1692,2023-08-20,3.98445,3434.802262342643
1693,2023-08-21,3.55043,3060.654543610584
1694,2023-08-22,3.6072,3109.5932238382675
1695,2023-08-23,3.88225,3346.700569207727
1696,2023-08-24,3.6501,3146.575245711926
1697,2023-08-25,3.75987,3241.202670911728
