,date,에디션,에디션_absolute
1724,2023-09-21,0.32061,511.0993633962824
1725,2023-09-22,0.32061,511.0993633962824
1726,2023-09-23,0.33951,541.2287354314333
1727,2023-09-24,0.38501,613.7624088493893
1728,2023-09-25,0.33041,526.7220007478421
1729,2023-09-26,0.32971,525.6060980798736
1730,2023-09-27,0.28071,447.4929113220749
1731,2023-09-28,0.29261,466.46325667754024
1732,2023-09-29,0.31221,497.70853138065974
1733,2023-09-30,0.36821,586.980744818144
1734,2023-10-01,0.37871,603.7192848376723
1735,2023-10-02,0.39761,633.8486568728232
1736,2023-10-03,0.46342,738.7594491285524
1737,2023-10-04,0.39271,626.0373381970434
1738,2023-10-05,0.44732,713.0936877652757
1739,2023-10-06,0.43122,687.427926401999
1740,2023-10-07,0.37731,601.4874795017352
1741,2023-10-08,0.39831,634.9645595407917
1742,2023-10-09,0.59922,955.2445667144516
1743,2023-10-10,0.43052,686.3120237340305
1744,2023-10-11,0.38641,615.9942141853263
1745,2023-10-12,0.41162,656.1826516988795
1746,2023-10-13,0.43962,700.8187584176217
1747,2023-10-14,0.49562,790.0909718551059
1748,2023-10-15,0.51452,820.2203438902567
1749,2023-10-16,0.52502,836.9588839097851
1750,2023-10-17,0.52292,833.6111759058795
1751,2023-10-18,0.50052,797.9022905308857
1752,2023-10-19,0.45012,717.5572984371499
1753,2023-10-20,0.45362,723.1368117769927
1754,2023-10-21,0.42142,671.8052890504392
1755,2023-10-22,0.46972,748.8025731402694
1756,2023-10-23,0.42352,675.152997054345
1757,2023-10-24,0.41232,657.2985543668481
1758,2023-10-25,0.42002,669.5734837145021
1759,2023-10-26,0.42772,681.8484130621562
1760,2023-10-27,0.36751,585.8648421501754
1761,2023-10-28,0.32551,518.9106820720623
1762,2023-10-29,0.41862,667.341678378565
1763,2023-10-30,0.40812,650.6031383590367
1764,2023-10-31,0.40602,647.2554303551311
1765,2023-11-01,0.38291,610.4147008454836
1766,2023-11-02,0.39831,634.9645595407917
1767,2023-11-03,0.41862,667.341678378565
1768,2023-11-04,0.43052,686.3120237340305
1769,2023-11-05,0.44662,711.9777850973072
1770,2023-11-06,0.49562,790.0909718551059
1771,2023-11-07,0.47882,763.3093078238606
1772,2023-11-08,0.45292,722.0209091090242
1773,2023-11-09,0.43052,686.3120237340305
1774,2023-11-10,0.44382,707.5141744254329
1775,2023-11-11,0.50402,803.4818038707285
1776,2023-11-12,0.51732,824.683954562131
1777,2023-11-13,0.47252,753.2661838121436
1778,2023-11-14,0.46762,745.4548651363637
1779,2023-11-15,0.48932,780.0478478433888
1780,2023-11-16,0.45362,723.1368117769927
1781,2023-11-17,0.49842,794.55458252698
1782,2023-11-18,0.50262,801.2499985347913
1783,2023-11-19,0.55652,887.1745039683699
1784,2023-11-20,0.56492,900.5653359839926
1785,2023-11-21,0.50822,810.1772198785397
1786,2023-11-22,0.46482,740.9912544644895
1787,2023-11-23,0.48022,765.5411131597976
1788,2023-11-24,0.52222,832.4952732379109
1789,2023-11-25,0.51522,821.3362465582253
1790,2023-11-26,0.56562,901.6812386519612
1791,2023-11-27,0.50542,805.7136092066655
1792,2023-11-28,0.57122,910.6084599957095
1793,2023-11-29,0.53132,847.002007921502
1794,2023-11-30,0.57472,916.1879733355523
1795,2023-12-01,0.55442,883.8267959644643
1796,2023-12-02,0.77843,1240.9315911810863
1797,2023-12-03,0.64823,1033.3736949389356
1798,2023-12-04,0.54812,873.7836719527473
1799,2023-12-05,0.47672,759.9615998199549
1800,2023-12-06,0.50612,806.8295118746341
