,date,마뗑킴,마뗑킴_absolute
1040,2021-11-06,3.48257,1264.099208239587
1041,2021-11-07,3.62128,1314.4480027146192
1042,2021-11-08,3.1166,1131.2598432765162
1043,2021-11-09,3.59177,1303.7364972358635
1044,2021-11-10,4.90511,1780.4511229718512
1045,2021-11-11,3.75704,1363.7260096206128
1046,2021-11-12,3.20514,1163.3979895011528
1047,2021-11-13,2.70046,980.2098300630497
1048,2021-11-14,3.03101,1100.192484620918
1049,2021-11-15,3.54455,1286.5966365545066
1050,2021-11-16,3.69211,1340.1577937366546
1051,2021-11-17,3.46781,1258.7416406060242
1052,2021-11-18,3.79836,1378.7242951638927
1053,2021-11-19,3.54455,1286.5966365545066
1054,2021-11-20,2.96608,1076.6242687369597
1055,2021-11-21,3.02511,1098.0509094828408
1056,2021-11-22,3.61243,1311.2356400075034
1057,2021-11-23,3.51503,1275.8815012873813
1058,2021-11-24,3.18743,1156.9696342985515
1059,2021-11-25,3.50028,1270.5275634421882
1060,2021-11-26,3.53569,1283.3806440590213
1061,2021-11-27,2.76539,1003.778045947008
1062,2021-11-28,2.80671,1018.7763314902876
1063,2021-11-29,3.47076,1259.812428175063
1064,2021-11-30,3.48552,1265.1699958086256
1065,2021-12-01,3.64784,1324.0887206243362
1066,2021-12-02,3.73638,1356.226866848973
1067,2021-12-03,3.48552,1265.1699958086256
1068,2021-12-04,3.1225,1133.4014184145933
1069,2021-12-05,2.94838,1070.199543322728
1070,2021-12-06,3.37632,1225.532706812349
1071,2021-12-07,3.2258,1170.8971322727928
1072,2021-12-08,3.45305,1253.3840729724618
1073,2021-12-09,3.40878,1237.3149998601434
1074,2021-12-10,3.29073,1194.465348156751
1075,2021-12-11,2.93362,1064.8419756891656
1076,2021-12-12,3.4442,1250.1717102653458
1077,2021-12-13,3.76885,1368.012789685137
1078,2021-12-14,3.50913,1273.739926149304
1079,2021-12-15,3.28483,1192.3237730186736
1080,2021-12-16,3.69801,1342.299368874732
1081,2021-12-17,3.61833,1313.3772151455805
1082,2021-12-18,2.80966,1019.8471190593262
1083,2021-12-19,3.3409,1212.6759964071464
1084,2021-12-20,4.61293,1674.3959663882242
1085,2021-12-21,3.67145,1332.6586509650149
1086,2021-12-22,4.16728,1512.634447696002
1087,2021-12-23,3.58586,1301.5912923094165
1088,2021-12-24,3.62718,1316.5895778526965
1089,2021-12-25,3.09594,1123.7607005048762
1090,2021-12-26,2.91591,1058.4136204865642
1091,2021-12-27,3.3232,1206.251270992915
1092,2021-12-28,3.03101,1100.192484620918
1093,2021-12-29,3.32615,1207.3220585619536
1094,2021-12-30,3.14612,1141.9749785436413
1095,2021-12-31,3.04577,1105.5500522544808
1096,2022-01-01,3.07823,1117.332345302275
1097,2022-01-02,3.4501,1252.313285403423
1098,2022-01-03,3.3291,1208.392846130992
1099,2022-01-04,3.03692,1102.3376895473648
1100,2022-01-05,3.38517,1228.7450695194648
1101,2022-01-06,3.46781,1258.7416406060242
1102,2022-01-07,3.21695,1167.684769565677
1103,2022-01-08,3.11955,1132.3306308455547
1104,2022-01-09,2.85393,1035.9161921716448
1105,2022-01-10,3.32024,1205.1768536355066
1106,2022-01-11,3.46191,1256.6000654679472
1107,2022-01-12,3.75704,1363.7260096206128
1108,2022-01-13,4.27057,1550.126531765832
1109,2022-01-14,6.95629,2524.9860537720583
1110,2022-01-15,3.58291,1300.520504740378
1111,2022-01-16,3.87509,1406.5756613240053
1112,2022-01-17,3.75704,1363.7260096206128
1113,2022-01-18,3.29958,1197.6777108638669
1114,2022-01-19,3.96068,1437.6430199796034
1115,2022-01-20,4.08169,1481.567089040404
1116,2022-01-21,3.45601,1254.4584903298698
1117,2022-01-22,3.4501,1252.313285403423
1118,2022-01-23,4.09644,1486.921026885597
1119,2022-01-24,4.07579,1479.4255139023267
1120,2022-01-25,3.91641,1421.573946867285
1121,2022-01-26,3.335,1210.5344212690693
1122,2022-01-27,2.97199,1078.7694736634066
1123,2022-01-28,2.8982,1051.985265283963
1124,2022-01-29,2.80081,1016.6347563522104
1125,2022-01-30,4.15547,1508.347667631478
1126,2022-01-31,3.95183,1434.4306572724877
1127,2022-02-01,3.99315,1449.4289428157672
1128,2022-02-02,5.07629,1842.5858402830477
1129,2022-02-03,11.70498,4248.660027066277
1130,2022-02-04,9.76891,3545.9075901887927
1131,2022-02-05,4.97889,1807.2317015629253
1132,2022-02-06,6.32175,2294.6614625660386
1133,2022-02-07,6.02662,2187.5355184133728
1134,2022-02-08,6.14467,2230.385170116765
1135,2022-02-09,7.82988,2842.0807359539012
1136,2022-02-10,4.67786,1697.9641822721824
1137,2022-02-11,4.50373,1634.7586773919477
1138,2022-02-12,5.16188,1873.6531989386456
1139,2022-02-13,4.26467,1547.9849566277544
1140,2022-02-14,4.4329,1609.0488863699122
1141,2022-02-15,4.82838,1752.5997568117386
1142,2022-02-16,6.93563,2517.4869110004183
1143,2022-02-17,5.16778,1875.7947740767227
1144,2022-02-18,4.73098,1717.2456180916165
1145,2022-02-19,3.81312,1384.0818627974552
1146,2022-02-20,4.72508,1715.1040429535394
1147,2022-02-21,4.11415,1493.3493820881984
1148,2022-02-22,5.15302,1870.43720644316
1149,2022-02-23,6.76445,2455.352193689222
1150,2022-02-24,4.73098,1717.2456180916165
1151,2022-02-25,3.96363,1438.713807548642
1152,2022-02-26,4.21745,1530.8450959463978
1153,2022-02-27,3.92527,1424.7899393627704
1154,2022-02-28,3.84263,1394.7933682762111
1155,2022-03-01,3.76885,1368.012789685137
1156,2022-03-02,3.98134,1445.1421627512432
1157,2022-03-03,4.3355,1573.6947476497899
1158,2022-03-04,4.26762,1549.0557441967933
1159,2022-03-05,3.70392,1344.4445738011786
1160,2022-03-06,3.50618,1272.6691385802656
1161,2022-03-07,3.75409,1362.6552220515744
1162,2022-03-08,3.46191,1256.6000654679472
1163,2022-03-09,3.98134,1445.1421627512432
1164,2022-03-10,6.44866,2340.7271067649167
1165,2022-03-11,4.45651,1617.6188167105906
1166,2022-03-12,4.34436,1576.9107401452754
1167,2022-03-13,4.47126,1622.9727545557837
1168,2022-03-14,5.07629,1842.5858402830477
1169,2022-03-15,5.03792,1828.6583423088064
1170,2022-03-16,4.50373,1634.7586773919477
1171,2022-03-17,4.24991,1542.627388994192
1172,2022-03-18,4.44765,1614.4028242151053
1173,2022-03-19,3.84263,1394.7933682762111
1174,2022-03-20,6.45751,2343.939469472032
1175,2022-03-21,5.36552,1947.5702092976362
1176,2022-03-22,4.14662,1505.1353049243623
1177,2022-03-23,5.39208,1957.2109272073533
1178,2022-03-24,3.8869,1410.8624413885293
1179,2022-03-25,3.14612,1141.9749785436413
1180,2022-03-26,3.81017,1383.0110752284165
1181,2022-03-27,4.29714,1559.7708794639184
1182,2022-03-28,4.08169,1481.567089040404
1183,2022-03-29,3.98134,1445.1421627512432
1184,2022-03-30,5.71673,2075.0520066271442
1185,2022-03-31,4.89626,1777.2387602647354
1186,2022-04-01,3.80426,1380.8658703019698
1187,2022-04-02,3.40878,1237.3149998601434
1188,2022-04-03,3.40878,1237.3149998601434
1189,2022-04-04,3.26122,1183.7538426779952
1190,2022-04-05,3.96954,1440.8590124750888
1191,2022-04-06,6.37782,2315.0136859545114
1192,2022-04-07,5.27403,1914.3612755039608
1193,2022-04-08,3.76885,1368.012789685137
1194,2022-04-09,3.85148,1398.0057309833269
1195,2022-04-10,3.6685,1331.5878633959762
1196,2022-04-11,4.47717,1625.1179594822306
1197,2022-04-12,4.18794,1520.133590467642
1198,2022-04-13,5.4452,1976.4923630267872
1199,2022-04-14,4.70442,1707.6049001818994
1200,2022-04-15,3.64784,1324.0887206243362
1201,2022-04-16,3.57111,1296.2373544642237
1202,2022-04-17,4.39748,1596.1921759647096
1203,2022-04-18,3.4442,1250.1717102653458
1204,2022-04-19,3.50618,1272.6691385802656
1205,2022-04-20,3.42354,1242.6725674937059
1206,2022-04-21,3.08414,1119.4775502287218
1207,2022-04-22,3.8928,1413.0040165266064
1208,2022-04-23,4.10235,1489.066231812044
1209,2022-04-24,3.94593,1432.2890821344104
1210,2022-04-25,5.04087,1829.729129877845
1211,2022-04-26,4.52734,1643.3286077326259
1212,2022-04-27,5.12351,1859.7257009644043
1213,2022-04-28,4.06398,1475.1387338378026
1214,2022-04-29,4.03152,1463.3564407900085
1215,2022-04-30,4.71032,1709.7464753199768
1216,2022-05-01,6.07089,2203.6045915256914
1217,2022-05-02,8.26668,3000.629891939007
1218,2022-05-03,4.38568,1591.9090256885552
1219,2022-05-04,6.05023,2196.1054487540514
1220,2022-05-05,3.36156,1220.1751391787864
1221,2022-05-06,4.19679,1523.3459531747578
1222,2022-05-07,4.89921,1778.309547833774
1223,2022-05-08,5.08514,1845.7982029901634
1224,2022-05-09,4.54505,1649.7569629352272
1225,2022-05-10,4.14662,1505.1353049243623
1226,2022-05-11,4.71327,1710.8172628890152
1227,2022-05-12,4.29418,1558.6964621065101
1228,2022-05-13,3.7777,1371.2251523922528
1229,2022-05-14,3.53569,1283.3806440590213
1230,2022-05-15,4.42404,1605.8328938744266
1231,2022-05-16,5.66065,2054.696153450302
1232,2022-05-17,3.91051,1419.4323717292077
1233,2022-05-18,8.6474,3138.823194747271
1234,2022-05-19,9.34982,3393.7867894062874
1235,2022-05-20,5.42454,1968.9932202551477
