,date,브룩스브라더스,브룩스브라더스_absolute
386,2020-01-22,6.93779,813.5283180758013
387,2020-01-23,7.1866,842.7038885125601
388,2020-01-24,7.62679,894.3207622336998
389,2020-01-25,7.54066,884.2211204117554
390,2020-01-26,8.95693,1050.29356582178
391,2020-01-27,11.28229,1322.9663059480658
392,2020-01-28,8.94736,1049.1713833971194
393,2020-01-29,8.22009,963.8913821449935
394,2020-01-30,8.00956,939.2045414068767
395,2020-01-31,6.97607,818.0170477744433
396,2020-02-01,8.34449,978.4785810611655
397,2020-02-02,9.30143,1090.6897879007292
398,2020-02-03,8.42105,987.4560404584495
399,2020-02-04,8.98564,1053.6601130957615
400,2020-02-05,7.71291,904.41923145123
401,2020-02-06,7.67464,899.9316743570024
402,2020-02-07,10.22009,1198.4122650416512
403,2020-02-08,14.78468,1733.6581034722783
404,2020-02-09,14.15311,1659.5999264667573
405,2020-02-10,9.96172,1168.1156847846462
406,2020-02-11,10.32535,1210.7550991085022
407,2020-02-12,9.95215,1166.9935023599858
408,2020-02-13,10.87081,1274.7159795009077
409,2020-02-14,9.72248,1140.062296772548
410,2020-02-15,11.36842,1333.0659477700106
411,2020-02-16,13.48325,1581.0518471581797
412,2020-02-17,9.1866,1077.2247714092177
413,2020-02-18,9.04306,1060.3932076437245
414,2020-02-19,7.87559,923.495160066044
415,2020-02-20,8.01913,940.3267238315373
416,2020-02-21,6.80382,797.8189367349687
417,2020-02-22,9.07177,1063.7597549177062
418,2020-02-23,9.55023,1119.8641857330736
419,2020-02-24,8.54545,1002.0432393746217
420,2020-02-25,8.33492,977.356398636505
421,2020-02-26,8.1244,952.6707305028027
422,2020-02-27,8.47846,994.1879624019981
423,2020-02-28,9.22488,1081.7135011078597
424,2020-02-29,11.48325,1346.530964261522
425,2020-03-01,11.51196,1349.8975115355036
426,2020-03-02,9.45454,1108.643534090883
427,2020-03-03,8.75598,1026.7300801127383
428,2020-03-04,9.11004,1068.2473120119337
429,2020-03-05,9.15789,1073.8582241352362
430,2020-03-06,11.16746,1309.5012894565543
431,2020-03-07,11.5598,1355.5072510543916
432,2020-03-08,12.51674,1467.7184578939555
433,2020-03-09,12.13397,1422.8346787207786
434,2020-03-10,12.1244,1421.7124962961182
435,2020-03-11,11.49282,1347.6531466861825
436,2020-03-12,10.87081,1274.7159795009077
437,2020-03-13,9.28229,1088.4454230514082
438,2020-03-14,10.91866,1280.32689162421
439,2020-03-15,14.25837,1671.9427605336084
440,2020-03-16,10.87081,1274.7159795009077
441,2020-03-17,11.88516,1393.65910828402
442,2020-03-18,11.36842,1333.0659477700106
443,2020-03-19,10.54545,1236.5641222712793
444,2020-03-20,9.77033,1145.6732088958506
445,2020-03-21,12.46889,1462.107545770653
446,2020-03-22,14.79425,1734.780285896939
447,2020-03-23,16.22009,1901.974913731624
448,2020-03-24,12.0,1407.125297379946
449,2020-03-25,11.01435,1291.5475432664007
450,2020-03-26,12.27751,1439.6662424862716
451,2020-03-27,11.69377,1371.2166323952245
452,2020-03-28,15.311,1795.3746190153627
453,2020-03-29,13.05263,1530.5571558617005
454,2020-03-30,10.72727,1257.8844157354144
455,2020-03-31,10.23923,1200.656629890972
456,2020-04-01,9.92344,1163.6269550860043
457,2020-04-02,9.9043,1161.3825902366832
458,2020-04-03,13.73205,1610.2262449905238
459,2020-04-04,13.42583,1574.3187526102167
460,2020-04-05,13.01435,1526.0684261630583
461,2020-04-06,11.5311,1352.1418763848246
462,2020-04-07,11.1866,1311.7456543058754
463,2020-04-08,10.87081,1274.7159795009077
464,2020-04-09,10.04784,1178.2141540021764
465,2020-04-10,8.74641,1025.6078976880776
466,2020-04-11,10.69856,1254.517868461433
467,2020-04-12,13.11004,1537.289077805249
468,2020-04-13,10.40191,1219.7325585057863
469,2020-04-14,9.73205,1141.1844791972085
470,2020-04-15,12.78468,1499.1372205756206
471,2020-04-16,9.27272,1087.3232406267477
472,2020-04-17,9.33971,1095.1785175993714
473,2020-04-18,9.88516,1159.1382253873624
474,2020-04-19,12.28708,1440.7884249109322
475,2020-04-20,10.56459,1238.8084871206004
476,2020-04-21,9.5598,1120.986368157734
477,2020-04-22,8.22009,963.8913821449935
478,2020-04-23,8.42105,987.4560404584495
479,2020-04-24,7.77033,911.1523259991931
480,2020-04-25,10.08612,1182.7028837008183
481,2020-04-26,13.60765,1595.6390460743519
482,2020-04-27,9.59808,1125.475097856376
483,2020-04-28,10.7177,1256.762233310754
484,2020-04-29,12.16267,1426.2000533903456
485,2020-04-30,13.59808,1594.5168636496912
486,2020-05-01,13.36842,1567.5868306666682
487,2020-05-02,12.66028,1484.5500216594487
488,2020-05-03,14.31578,1678.674682477157
489,2020-05-04,13.71291,1607.981880141203
490,2020-05-05,15.29186,1793.1302541660418
491,2020-05-06,14.26794,1673.0649429582688
492,2020-05-07,12.1244,1421.7124962961182
493,2020-05-08,10.43062,1223.0991057797676
494,2020-05-09,11.55023,1354.3850686297312
495,2020-05-10,12.77511,1498.0150381509602
496,2020-05-11,13.24401,1552.9984591460816
