,date,타미힐피거,타미힐피거_absolute
1276,2022-06-30,5.11115,4406.076016306542
1277,2022-07-01,4.97236,4286.431848105025
1278,2022-07-02,5.95018,5129.363331286865
1279,2022-07-03,6.51669,5617.724291931303
1280,2022-07-04,5.75714,4962.95285337332
1281,2022-07-05,5.48461,4728.017878519516
1282,2022-07-06,5.33069,4595.3308667061465
1283,2022-07-07,5.06194,4363.654447625826
1284,2022-07-08,4.94208,4260.328919845482
1285,2022-07-09,5.61962,4844.40349094755
1286,2022-07-10,6.50533,5607.931383575015
1287,2022-07-11,5.34078,4604.028969286687
1288,2022-07-12,5.04933,4352.78397452963
1289,2022-07-13,4.6847,4038.454029639369
1290,2022-07-14,4.82222,4157.0033920651385
1291,2022-07-15,4.52194,3898.146479985366
1292,2022-07-16,4.89414,4219.002156940513
1293,2022-07-17,5.87448,5064.106010638008
1294,2022-07-18,4.78942,4128.72809328994
1295,2022-07-19,4.89035,4215.73498064911
1296,2022-07-20,4.78942,4128.72809328994
1297,2022-07-21,4.28347,3692.5729891645883
1298,2022-07-22,4.38567,3780.6746822995046
1299,2022-07-23,5.08844,4386.498820111886
1300,2022-07-24,5.48966,4732.371240068746
1301,2022-07-25,4.55853,3929.6889550519672
1302,2022-07-26,4.85755,4187.459681873912
1303,2022-07-27,4.91937,4240.751723650825
1304,2022-07-28,4.54465,3917.7236761800236
1305,2022-07-29,4.12955,3559.8859773512186
1306,2022-07-30,4.59511,3961.222809600649
1307,2022-07-31,5.1919,4475.68669850463
1308,2022-08-01,4.76292,4105.883720803881
1309,2022-08-02,4.64432,4003.644378281365
1310,2022-08-03,4.29104,3699.0987212294735
1311,2022-08-04,4.34782,3748.0460219750757
1312,2022-08-05,4.23553,3651.246226259618
1313,2022-08-06,4.66577,4022.1353892181946
1314,2022-08-07,5.32312,4588.805134641261
1315,2022-08-08,4.5131,3890.5259421447336
1316,2022-08-09,4.17371,3597.954184482705
1317,2022-08-10,4.54591,3918.8098614378514
1318,2022-08-11,4.28095,3690.4006186489323
1319,2022-08-12,4.2267,3643.634308936905
1320,2022-08-13,4.85124,4182.020135066854
1321,2022-08-14,5.42784,4679.079198291833
1322,2022-08-15,5.90981,5094.562300446782
1323,2022-08-16,4.9118,4234.2259915859395
1324,2022-08-17,9.40346,8106.269543311764
1325,2022-08-18,6.0221,5191.362096162239
1326,2022-08-19,5.32564,4590.977505156917
1327,2022-08-20,5.37106,4630.131897546231
1328,2022-08-21,6.18991,5336.023007365472
1329,2022-08-22,5.02283,4329.93960204357
1330,2022-08-23,5.13134,4423.4808419855435
1331,2022-08-24,5.95901,5136.975248609579
1332,2022-08-25,5.43415,4684.518745098891
1333,2022-08-26,5.58429,4813.947201138777
1334,2022-08-27,6.7501,5818.935800684932
1335,2022-08-28,8.01433,6908.76753759252
1336,2022-08-29,7.22576,6228.979356032823
1337,2022-08-30,7.12483,6141.972468673654
1338,2022-08-31,6.61762,5704.731179290473
1339,2022-09-01,6.56716,5661.232045869848
1340,2022-09-02,6.06752,5230.516488551553
1341,2022-09-03,7.48567,6453.035237272511
1342,2022-09-04,8.63635,7444.980993206814
1343,2022-09-05,7.14249,6157.19630331908
1344,2022-09-06,6.97342,6011.449206858019
1345,2022-09-07,7.07436,6098.464714735109
1346,2022-09-08,7.63834,6584.644684345973
1347,2022-09-09,8.84074,7621.175758958728
1348,2022-09-10,8.26414,7124.116695733748
1349,2022-09-11,10.58694,9126.490598021264
1350,2022-09-12,11.88649,10246.770004219707
1351,2022-09-13,9.96618,8591.363327664798
1352,2022-09-14,8.62121,7431.929529077042
1353,2022-09-15,7.67872,6619.454335703976
1354,2022-09-16,6.67945,5758.031841585305
1355,2022-09-17,7.89447,6805.442009812177
1356,2022-09-18,8.86724,7644.020131444788
1357,2022-09-19,7.30147,6294.245297199599
1358,2022-09-20,10.45446,9012.285976626805
1359,2022-09-21,8.88112,7655.98541031673
1360,2022-09-22,7.73423,6667.3068306738305
1361,2022-09-23,8.06606,6953.361476788893
1362,2022-09-24,9.60155,8277.033382774538
1363,2022-09-25,11.32756,9764.943396158073
1364,2022-09-26,9.65202,8320.541136713084
1365,2022-09-27,8.40798,7248.114225484496
1366,2022-09-28,7.91087,6819.579659199776
1367,2022-09-29,7.83264,6752.141347517344
1368,2022-09-30,6.98856,6024.500670987791
1369,2022-10-01,8.67041,7474.34247723984
1370,2022-10-02,10.42544,8987.26923362509
1371,2022-10-03,10.809,9317.917818936523
1372,2022-10-04,8.82686,7609.210480086784
1373,2022-10-05,11.71742,10101.022907758646
1374,2022-10-06,8.07994,6965.326755660837
1375,2022-10-07,7.72414,6658.60872809329
1376,2022-10-08,8.82813,7610.305285862531
1377,2022-10-09,10.68157,9208.066559091296
1378,2022-10-10,14.39854,12412.287208129364
1379,2022-10-11,11.95715,10307.682583837253
1380,2022-10-12,9.67599,8341.204518165569
1381,2022-10-13,9.33785,8049.710325243447
1382,2022-10-14,7.78722,6712.98695512803
1383,2022-10-15,10.99825,9481.061120558667
1384,2022-10-16,11.36036,9793.218694933272
1385,2022-10-17,9.2571,7980.09964304536
1386,2022-10-18,9.0199,7775.620958000329
1387,2022-10-19,8.84327,7623.356749992303
1388,2022-10-20,7.94998,6853.294504782032
1389,2022-10-21,6.97216,6010.363021600192
1390,2022-10-22,8.0711,6957.706217820203
1391,2022-10-23,9.17005,7905.058034558134
1392,2022-10-24,8.08877,6972.93867298355
1393,2022-10-25,7.73044,6664.039654382428
1394,2022-10-26,7.42007,6396.4846397221145
1395,2022-10-27,8.68934,7490.661117661013
1396,2022-10-28,6.52173,5622.069032962614
1397,2022-10-29,7.41123,6388.8641018814815
1398,2022-10-30,7.656,6599.868518991399
1399,2022-10-31,6.70973,5784.134769844849
1400,2022-11-01,6.69459,5771.083305715077
1401,2022-11-02,7.03651,6065.83605441068
1402,2022-11-03,7.11347,6132.179560317365
1403,2022-11-04,7.3267,6315.994863909911
1404,2022-11-05,7.86166,6777.158090519059
1405,2022-11-06,8.99215,7751.699020774361
1406,2022-11-07,7.5803,6534.611198342542
1407,2022-11-08,6.96838,6007.104465826708
1408,2022-11-09,6.33879,5464.36527814753
1409,2022-11-10,6.25551,5392.573604915868
1410,2022-11-11,5.58555,4815.033386396604
1411,2022-11-12,6.67566,5754.764665293903
1412,2022-11-13,8.4698,7301.406267261409
1413,2022-11-14,7.31787,6308.382946587198
1414,2022-11-15,8.98205,7742.9922976759
1415,2022-11-16,8.64896,7455.851466303011
1416,2022-11-17,6.33248,5458.925731340472
1417,2022-11-18,5.86691,5057.580278573122
1418,2022-11-19,6.64286,5726.489366518705
