,date,질스튜어트,질스튜어트_absolute
538,2020-06-22,30.77511,3608.7029842208794
539,2020-06-23,28.18181,3304.611481412928
540,2020-06-24,28.18181,3304.611481412928
541,2020-06-25,26.80382,3143.0277657015454
542,2020-06-26,27.75119,3254.1167901164486
543,2020-06-27,29.79904,3494.248585136409
544,2020-06-28,39.23444,4600.647754377971
545,2020-06-29,36.06698,4229.229996508047
546,2020-06-30,30.88995,3622.169173316805
547,2020-07-01,30.99521,3634.5120073836565
548,2020-07-02,29.63636,3475.1726565215945
549,2020-07-03,26.51674,3109.364638170559
550,2020-07-04,30.43062,3568.3079347463445
551,2020-07-05,36.98564,4336.952473648968
552,2020-07-06,31.81818,3731.0138328823878
553,2020-07-07,31.14832,3652.4657535738097
554,2020-07-08,29.08133,3410.089593704529
555,2020-07-09,27.46411,3220.4536625854626
556,2020-07-10,28.3732,3327.0539573017236
557,2020-07-11,30.94736,3628.901095260354
558,2020-07-12,36.83253,4318.998727458815
559,2020-07-13,30.18181,3539.1323643095857
560,2020-07-14,28.95693,3395.5023947883565
561,2020-07-15,27.68421,3246.2626857482396
562,2020-07-16,27.22488,3192.4014471777787
563,2020-07-17,25.70334,3013.9849950964885
564,2020-07-18,28.7177,3367.450179380673
565,2020-07-19,32.06698,3760.188230714732
566,2020-07-20,28.81339,3378.6708310228632
567,2020-07-21,26.19138,3071.2127809409308
568,2020-07-22,26.05741,3055.5033996000984
569,2020-07-23,26.90909,3155.371772372811
570,2020-07-24,26.63157,3122.829654662071
571,2020-07-25,30.63157,3591.871420455386
572,2020-07-26,35.38755,4149.559734774809
573,2020-07-27,32.70813,3835.3697627493275
574,2020-07-28,29.35885,3442.631711415269
575,2020-07-29,26.90909,3155.371772372811
576,2020-07-30,25.84688,3030.8165588619813
577,2020-07-31,25.86602,3033.0609237113026
578,2020-08-01,31.49282,3692.861975652759
579,2020-08-02,31.24401,3663.6864052160004
580,2020-08-03,28.53588,3346.1298859165377
581,2020-08-04,28.42105,3332.664869425026
582,2020-08-05,27.74162,3252.994607691788
583,2020-08-06,24.70813,2897.2862311626973
584,2020-08-07,24.44019,2865.867468481032
585,2020-08-08,27.86602,3267.58180660796
586,2020-08-09,29.73205,3486.3933081637856
587,2020-08-10,27.54066,3229.429949378332
588,2020-08-11,28.78468,3375.3042837488824
589,2020-08-12,27.70334,3248.505877993146
590,2020-08-13,27.68421,3246.2626857482396
591,2020-08-14,26.0287,3052.1368523261167
592,2020-08-15,28.79425,3376.426466173543
593,2020-08-16,32.52631,3814.049469285193
594,2020-08-17,33.0622,3876.8881672529374
595,2020-08-18,28.46889,3338.2746089439142
596,2020-08-19,29.86602,3502.102689504618
597,2020-08-20,27.74162,3252.994607691788
598,2020-08-21,25.84688,3030.8165588619813
599,2020-08-22,30.65071,3594.115785304707
600,2020-08-23,35.22488,4130.484978764409
601,2020-08-24,29.74162,3487.515490588446
