,date,메종 키츠네,메종 키츠네_absolute
427,2020-03-03,4.59301,5809.824102032554
428,2020-03-04,4.08951,5172.933166595141
429,2020-03-05,5.36466,6785.905314207886
430,2020-03-06,4.57169,5782.855850307578
431,2020-03-07,5.16376,6531.781403722531
432,2020-03-08,5.81814,7359.5245821367
433,2020-03-09,4.89806,6195.690199063702
434,2020-03-10,5.03911,6374.108205902722
435,2020-03-11,4.83164,6111.67372253589
436,2020-03-12,4.51593,5712.323499642254
437,2020-03-13,4.86854,6158.349542829119
438,2020-03-14,6.26342,7922.771445555908
439,2020-03-15,7.51562,9506.713509815547
440,2020-03-16,5.96411,7544.166031681484
441,2020-03-17,6.69558,8469.422461759745
442,2020-03-18,5.94607,7521.346741760351
443,2020-03-19,5.65906,7158.2999346503375
444,2020-03-20,5.14244,6504.813151997554
445,2020-03-21,5.57541,7052.488759378561
446,2020-03-22,6.65786,8421.709401015556
447,2020-03-23,5.58689,7067.01012569201
448,2020-03-24,5.23018,6615.797880250342
449,2020-03-25,5.11209,6466.422606038219
450,2020-03-26,4.94973,6261.048996748013
451,2020-03-27,4.7357,5990.316589773496
452,2020-03-28,4.94973,6261.048996748013
453,2020-03-29,5.6156,7103.326190749423
454,2020-03-30,5.07437,6418.70954529403
455,2020-03-31,4.86198,6150.051619221434
456,2020-04-01,5.13669,6497.539819567038
457,2020-04-02,5.03665,6370.996484549841
458,2020-04-03,4.66189,5896.952299913247
459,2020-04-04,4.92431,6228.894542768235
460,2020-04-05,6.76938,8562.774102346202
461,2020-04-06,6.2093,7854.313575792506
462,2020-04-07,6.54634,8280.64469968491
463,2020-04-08,5.6279,7118.884797513833
464,2020-04-09,5.2146,6596.09031168209
465,2020-04-10,4.7275,5979.94418526389
466,2020-04-11,5.41305,6847.115150088355
467,2020-04-12,6.1191,7740.217126186837
468,2020-04-13,5.7386,7258.912258393519
469,2020-04-14,5.52375,6987.142610968041
470,2020-04-15,6.02151,7616.772863248729
471,2020-04-16,5.8411,7388.567314763598
472,2020-04-17,5.44749,6890.6792490287025
473,2020-04-18,6.08384,7695.61578679553
474,2020-04-19,6.86205,8679.994922578546
475,2020-04-20,6.73986,8525.43344611162
476,2020-04-21,6.23882,7891.654232027088
477,2020-04-22,5.71974,7235.055728021423
478,2020-04-23,6.12566,7748.5150497945215
479,2020-04-24,5.91983,7488.155047329611
480,2020-04-25,6.20028,7842.90393083194
481,2020-04-26,6.92601,8760.899677753476
482,2020-04-27,6.85713,8673.771479872781
483,2020-04-28,7.67798,9712.087119105752
484,2020-04-29,7.38441,9340.742388388053
485,2020-04-30,8.25939,10447.528546658217
486,2020-05-01,8.04946,10181.982341938503
487,2020-05-02,8.33401,10541.917427695633
488,2020-05-03,9.23441,11680.858039945579
489,2020-05-04,9.09418,11503.477273557517
490,2020-05-05,9.72069,12295.966925912817
491,2020-05-06,10.91712,13809.363990233342
492,2020-05-07,10.339,13078.08417375851
493,2020-05-08,9.39678,11886.244298509575
494,2020-05-09,9.14257,11564.687109437986
495,2020-05-10,7.91579,10012.899499158128
496,2020-05-11,9.47222,11981.670419997954
497,2020-05-12,9.70265,12273.147635991683
498,2020-05-13,9.87404,12489.943539516249
499,2020-05-14,8.69893,11003.514726920701
500,2020-05-15,7.88217,9970.372640668742
501,2020-05-16,7.63206,9654.001653851956
502,2020-05-17,8.79077,11119.685657428292
